,тин,махаля,код_махаля,область,район,сектор,coato,region_id,district_id
57,207240712,АМИРҚУМ,8431,Хорезмская область,Кошкупырский район,4,1733212,12,150
58,207250344,БЕКОБОД,8443,Хорезмская область,Кошкупырский район,4,1733212,12,150
59,207189158,ДЎСТЛИК,8442,Хорезмская область,Кошкупырский район,4,1733212,12,150
60,206818474,БОҒЗОР,8440,Хорезмская область,Кошкупырский район,4,1733212,12,150
61,207187058,ЁШЛИК,8439,Хорезмская область,Кошкупырский район,4,1733212,12,150
62,205319842,БЎРЛОҚ,8432,Хорезмская область,Кошкупырский район,4,1733212,12,150
63,303910179,ЧОРШАНБА,2724,Кашкадарьинская область,Чиракчинский район,2,1710242,3,48
64,302778074,МАъНАВИЯТ,5962,Сырдарьинская область,Баяутский район,2,1724212,8,99
65,202890264,ИЖОДКОР,5961,Сырдарьинская область,Баяутский район,2,1724212,8,99
66,202832532,ЎРТА ЧАРХИН,4569,Самаркандская область,Пастдаргомский район,2,1718227,6,78
67,202832793,ЧОРТУТ,4572,Самаркандская область,Пастдаргомский район,2,1718227,6,78
68,202832524,ШОМБУЛОҚ,4573,Самаркандская область,Пастдаргомский район,2,1718227,6,78
69,203122172,БЕШБОЛА,4549,Самаркандская область,Пастдаргомский район,2,1718227,6,78
70,202832595,ГУЛАКАНДОЗ,4550,Самаркандская область,Пастдаргомский район,2,1718227,6,78
71,204882572,ЯНГИ АВЛОД,4600,Самаркандская область,Пастдаргомский район,3,1718227,6,78
72,202832643,ОЛМАЗОР,4590,Самаркандская область,Пастдаргомский район,3,1718227,6,78
73,206007652,БОБУР,4576,Самаркандская область,Пастдаргомский район,3,1718227,6,78
74,202832453,ГАЛАТУТ,4577,Самаркандская область,Пастдаргомский район,3,1718227,6,78
75,202832421,ГУМБАЗ,4579,Самаркандская область,Пастдаргомский район,3,1718227,6,78
76,202832667,ОҚ МАНҒИТ,4589,Самаркандская область,Пастдаргомский район,3,1718227,6,78
77,203091309,ҚЎШРАБОТ,4377,Самаркандская область,Кошрабадский район,3,1718216,6,75
78,203091119,ҚЎРАЛОС,10657,Самаркандская область,Кошрабадский район,4,1718216,6,75
79,203411328,БОЙПЎРИШЛИ,10651,Самаркандская область,Кошрабадский район,4,1718216,6,75
80,203313464,БОШЧЎРОШ,4457,Самаркандская область,Пайарыкский район,1,1718224,6,77
81,202956171,ОҚТОШ,4465,Самаркандская область,Пайарыкский район,1,1718224,6,77
82,203564350,ЧУВАЛАНЧИ,7411,Ферганская область,Багдадский район,3,1730209,11,135
83,203564335,ҚАХАТ,7413,Ферганская область,Багдадский район,3,1730209,11,135
84,200158944,ЗАФАРОБОД,7435,Ферганская область,Багдадский район,4,1730209,11,135
85,203564367,ЎЗБЕКИСТОН,7425,Ферганская область,Багдадский район,4,1730209,11,135
86,202872024,ЧИНИГАРОН,7681,Ферганская область,Риштанский район,1,1730224,11,140
87,202706656,НИСБАТ,10307,Самаркандская область,Каттакурганский район,4,1718215,6,74
88,202702986,СЕБУСТОН,4351,Самаркандская область,Каттакурганский район,4,1718215,6,74
89,202724040,ҒАРБ МАЧИТ,5163,Самаркандская область,Город Каттакурган,1,1718406,6,175
90,202724033,ЧОРДАРА,5172,Самаркандская область,Город Каттакурган,1,1718406,6,175
91,305256943,БАРКАМОЛ АВЛОД,2582,Кашкадарьинская область,Мубарекский район,2,1710234,3,44
92,202773599,ТИНЧЛИК,7083,Ташкентская область,Город Алмалык,4,1727404,10,176
93,202773622,ОЛМАЛИҚОВУЛ,7085,Ташкентская область,Город Алмалык,4,1727404,10,176
94,202773804,КАМАЛАК,7089,Ташкентская область,Город Алмалык,4,1727404,10,176
95,202912488,САЙҲУН,7148,Ташкентская область,Город Бекабад,1,1727413,10,177
96,202903094,БИРДАМЛИК,7153,Ташкентская область,Город Бекабад,2,1727413,10,177
97,202915293,СИРДАРЁ,7159,Ташкентская область,Город Бекабад,2,1727413,10,177
98,207191917,НУРОБОД,6685,Ташкентская область,Паркентский район,3,1727249,10,127
99,205599456,МАРКАЗИЙ,6700,Ташкентская область,Паркентский район,4,1727249,10,127
100,207142858,ГУЛИСТОН,6701,Ташкентская область,Паркентский район,4,1727249,10,127
101,207146718,ЧИМҚЎРҒОН,6720,Ташкентская область,Пскентский район,1,1727250,10,128
102,202926826,МЎМИНОБОД,10464,Ташкентская область,Пскентский район,2,1727250,10,128
103,202934974,НАВОИЙ,6726,Ташкентская область,Пскентский район,3,1727250,10,128
104,207147684,ЗОМИНОВУЛ ,6731,Ташкентская область,Пскентский район,3,1727250,10,128
105,203841884,КЎРПАСОЙ,2028,Джизакская область,Шароф Рашидовский район,4,1708212,2,28
106,202863351,Ғ.ҒУЛОМ,2049,Джизакская область,Зааминский район,1,1708218,2,30
107,202863336,ХАЛҚОБОД,2055,Джизакская область,Зааминский район,1,1708218,2,30
108,202873047,БЕШКУБИ,2057,Джизакская область,Зааминский район,2,1708218,2,30
109,202770018,БЕШКАПА,3391,Наманганская область,Наманганский район,1,1714212,5,61
110,202770215,УРГАНЖИ,3403,Наманганская область,Наманганский район,1,1714212,5,61
111,202770151,ҚИРҒИЗҚЎРҒОН,3396,Наманганская область,Наманганский район,1,1714212,5,61
112,202770380,ҚОРАКЎЛ,3397,Наманганская область,Наманганский район,1,1714212,5,61
113,202770247,ХОНОБОД,3418,Наманганская область,Наманганский район,2,1714212,5,61
114,202770365,ЯНГИЙЎЛ,3419,Наманганская область,Наманганский район,2,1714212,5,61
115,202770072,НАъМУНА,3413,Наманганская область,Наманганский район,2,1714212,5,61
116,202770064,ҚЎШЧИНОР,3410,Наманганская область,Наманганский район,2,1714212,5,61
117,202770397,ҚОРАТЕПА,3408,Наманганская область,Наманганский район,2,1714212,5,61
118,202770509,ЯШНАОБОД,3407,Наманганская область,Наманганский район,2,1714212,5,61
119,202770484,ҒАЙРАТ,3420,Наманганская область,Наманганский район,3,1714212,5,61
120,202770334,ЕШОБОД,3430,Наманганская область,Наманганский район,3,1714212,5,61
121,202770286,ШЕРБУЛОҚ,3427,Наманганская область,Янги Наманганский район,4,1714367,5,178
122,202770279,ШАМСИКЎЛ,3426,Наманганская область,Наманганский район,3,1714212,5,61
123,202770491,ҚУРАМА,3424,Наманганская область,Наманганский район,3,1714212,5,61
124,202770476,ҚУМҚЎРҒОН,3423,Наманганская область,Наманганский район,3,1714212,5,61
125,202770136,КАЙКОВУС,3421,Наманганская область,Наманганский район,3,1714212,5,61
126,202919374,НОВҚА,1935,Джизакская область,Бахмальский район,1,1708204,2,26
127,202927437,МУСТАҚИЛЛИК,1934,Джизакская область,Бахмальский район,1,1708204,2,26
128,202924307,МЎҒОЛ,1933,Джизакская область,Бахмальский район,1,1708204,2,26
129,206839986,ҒАЛЛАКОН,1932,Джизакская область,Бахмальский район,1,1708204,2,26
130,205010739,КЎНАЗЕЙ,8403,Хорезмская область,Кошкупырский район,1,1733212,12,150
131,207185883,ОЛТИН ВОҲА,8410,Хорезмская область,Кошкупырский район,2,1733212,12,150
132,202948782,АБУ АБДУЛЛО РУДАКИЙ,9430,Самаркандская область,Город Самарканд,4,1718401,6,179
133,202890478,УСМОН ЮСУПОВ,5975,Сырдарьинская область,Баяутский район,3,1724212,8,99
134,202890525,ЯНГИ БЎСТОН,5976,Сырдарьинская область,Баяутский район,3,1724212,8,99
135,202890295,МАДАНИЯТ,5971,Сырдарьинская область,Баяутский район,3,1724212,8,99
136,202890493,А.ТЕМУР,5967,Сырдарьинская область,Баяутский район,3,1724212,8,99
137,202890501,С.АЙНИЙ,5973,Сырдарьинская область,Баяутский район,3,1724212,8,99
138,202890422,ОЛМАЗОР,5981,Сырдарьинская область,Баяутский район,4,1724212,8,99
139,202905321,НУРЛИ ЙЎЛ,5985,Сырдарьинская область,Сайхунабадский район,1,1724216,8,100
140,202905234,ФАРОВОН,5988,Сырдарьинская область,Сайхунабадский район,1,1724216,8,100
141,202905163,НУРОБОД,5990,Сырдарьинская область,Сайхунабадский район,2,1724216,8,100
142,202905345,ПАХТАОБОД,5992,Сырдарьинская область,Сайхунабадский район,2,1724216,8,100
143,202905424,ПАХТАКОН,5995,Сырдарьинская область,Сайхунабадский район,3,1724216,8,100
144,202905069,ШОДЛИК,5998,Сырдарьинская область,Сайхунабадский район,3,1724216,8,100
145,202905377,СИНТОБ,5996,Сырдарьинская область,Сайхунабадский район,3,1724216,8,100
146,202905109,ЎРИКЗОР,6001,Сырдарьинская область,Сайхунабадский район,4,1724216,8,100
147,202905076,ГУЛИСТОН,5999,Сырдарьинская область,Сайхунабадский район,4,1724216,8,100
148,309511948,ЗАФАРОБОД,2275,Кашкадарьинская область,Дехканабадский район,3,1710212,3,38
149,202838373,ЮКСАЛИШ,9726,Наманганская область,Давлатабадский район,1,1714365,5,180
150,202577690,ДАВЛАТОБОД,9710,Наманганская область,Давлатабадский район,3,1714365,5,180
151,202770112,ИРВАДОН,3976,Наманганская область,Давлатабадский район,2,1714365,5,180
152,202770358,ЮҚОРИ РОВУСТОН,9728,Наманганская область,Давлатабадский район,2,1714365,5,180
153,201931402,ТЎҚУВЧИ,9719,Наманганская область,Давлатабадский район,2,1714365,5,180
154,202650965,МАъНАВИЯТ,9767,Наманганская область,Янги Наманганский район,2,1714367,5,178
155,202823504,ГУЛИСТОН,9750,Наманганская область,Янги Наманганский район,2,1714367,5,178
156,203045807,ЖАЙЧИ,2843,Кашкадарьинская область,Яккабагский район,2,1710250,3,50
157,305061862,ЧИНОБОД,2869,Кашкадарьинская область,Яккабагский район,3,1710250,3,50
158,302870697,ГУЛИСТОН,2855,Кашкадарьинская область,Яккабагский район,3,1710250,3,50
159,205856895,ХЎЖАКИ,2682,Кашкадарьинская область,Касбинский район,4,1710237,3,46
160,207236454,ЧУҚУРҚИШЛОҚ,2304,Кашкадарьинская область,Камашинский район,1,1710220,3,39
161,201575821,ЧИМ,2303,Кашкадарьинская область,Камашинский район,1,1710220,3,39
162,203317324,УЗУН,2302,Кашкадарьинская область,Камашинский район,1,1710220,3,39
163,207168279,САРБАЗОР,2301,Кашкадарьинская область,Камашинский район,1,1710220,3,39
164,201575727,РАВОТ,2299,Кашкадарьинская область,Камашинский район,1,1710220,3,39
165,203216933,ПАХТАОБОД,2298,Кашкадарьинская область,Камашинский район,1,1710220,3,39
166,203370300,ҚУШКАПА,2295,Кашкадарьинская область,Камашинский район,1,1710220,3,39
167,203291519,БОБУРТЕПА,2291,Кашкадарьинская область,Камашинский район,1,1710220,3,39
168,203204473,ҚИШЛИҚ,2297,Кашкадарьинская область,Камашинский район,1,1710220,3,39
169,203291541,ҚОВЧИН,2311,Кашкадарьинская область,Камашинский район,2,1710220,3,39
170,203291526,ҚИЗИЛҚИШЛОҚ,2310,Кашкадарьинская область,Камашинский район,2,1710220,3,39
171,201575781,ТЎҚБОЙ,2315,Кашкадарьинская область,Камашинский район,2,1710220,3,39
172,206935155,БОЙБУРИ,2308,Кашкадарьинская область,Камашинский район,2,1710220,3,39
173,206743054,САМАРҚАНД,2314,Кашкадарьинская область,Камашинский район,2,1710220,3,39
174,207204716,ҚОРАСУВ,2313,Кашкадарьинская область,Камашинский район,2,1710220,3,39
175,206433281,ЎРТАДАРА,2329,Кашкадарьинская область,Камашинский район,3,1710220,3,39
176,203295662,МАЙДА,2325,Кашкадарьинская область,Камашинский район,3,1710220,3,39
177,203295694,ҒИШТЛИ,2320,Кашкадарьинская область,Камашинский район,3,1710220,3,39
178,202678558,ЧЎЛОБОД,6379,Ташкентская область,Букинский район,4,1727228,10,122
179,306523278,ЯНГИ ОБОД,9613,Ташкентская область,Город Нурафшан,1,1727401,10,181
180,306239124,ЁШЛИК ,9614,Ташкентская область,Город Нурафшан,1,1727401,10,181
181,207059682,ДЕҲҚОНОБОД,9603,Ташкентская область,Город Нурафшан,1,1727401,10,181
182,306232102,ДЕГАНТЕПА ,9600,Ташкентская область,Город Нурафшан,1,1727401,10,181
183,207127621,ҚУМАРИҚ,7034,Ташкентская область,Город Нурафшан,2,1727401,10,181
184,202849827,НАВРЎЗ,7035,Ташкентская область,Город Нурафшан,2,1727401,10,181
185,201549536,МУҚУМИЙ,7037,Ташкентская область,Город Нурафшан,2,1727401,10,181
186,202891784,ТЎЙТЕПА,9628,Ташкентская область,Город Нурафшан,2,1727401,10,181
187,207104634,ЧИҒИРИҚ,7041,Ташкентская область,Город Нурафшан,3,1727401,10,181
188,306259337,ТАРРАҚИЁТ,9648,Ташкентская область,Город Нурафшан,3,1727401,10,181
189,202899741,БОБУР,9653,Ташкентская область,Город Нурафшан,4,1727401,10,181
190,203158658,ОБОД,9655,Ташкентская область,Город Нурафшан,4,1727401,10,181
191,203119816,ЕВАЛАК,9660,Ташкентская область,Город Нурафшан,4,1727401,10,181
192,202767502,МАХМУДХЎЖА БЕҲБУДИЙ,7056,Ташкентская область,Город Алмалык,1,1727404,10,176
193,310099916,ҚУЙИ АЙРОНЧИ,15932,Кашкадарьинская область,Касанский район,2,1710229,3,41
194,202767479,САХОВАТ,7049,Ташкентская область,Город Алмалык,1,1727404,10,176
195,202773829,МИРЗО УЛУҒБЕК,7048,Ташкентская область,Город Алмалык,1,1727404,10,176
196,202773772,БЎСТОН,7061,Ташкентская область,Город Алмалык,2,1727404,10,176
197,202767494,ОЙДИН,7063,Ташкентская область,Город Алмалык,2,1727404,10,176
198,202773868,КИМЁГАР,7058,Ташкентская область,Город Алмалык,2,1727404,10,176
199,207185567,НАВБАХОР,6487,Ташкентская область,Зангиатинский район,4,1727237,10,124
200,202893505,ИТТИФОҚ,6554,Ташкентская область,Юкоричирчикский район,3,1727239,10,125
201,202916782,ИСТИҚЛОЛ,6556,Ташкентская область,Юкоричирчикский район,3,1727239,10,125
202,202921833,ТИМОФЕЙ ГРИГОРЕВИЧ ХВАН,6550,Ташкентская область,Юкоричирчикский район,3,1727239,10,125
203,202893465,НАВРЎЗ,6564,Ташкентская область,Юкоричирчикский район,4,1727239,10,125
204,204956621,БАЛИҚЧИ,6561,Ташкентская область,Юкоричирчикский район,4,1727239,10,125
205,202923521,БИРЛИК,6560,Ташкентская область,Юкоричирчикский район,4,1727239,10,125
206,202923506,ЁШЛИК,6558,Ташкентская область,Юкоричирчикский район,4,1727239,10,125
207,204764093,НОВДАК ,6668,Ташкентская область,Паркентский район,1,1727249,10,127
208,207153306,ЯНГИОБОД,6665,Ташкентская область,Паркентский район,1,1727249,10,127
209,207142343,ШАМПАН,6655,Ташкентская область,Паркентский район,1,1727249,10,127
210,202938368,БЎРСИЛИҚ,6663,Ташкентская область,Паркентский район,1,1727249,10,127
211,207154644,ЧИНОРЛИ ,6662,Ташкентская область,Паркентский район,1,1727249,10,127
212,204764140,УЛУҒБЕК,6660,Ташкентская область,Паркентский район,1,1727249,10,127
213,207154755,ЧАШМА,6659,Ташкентская область,Паркентский район,1,1727249,10,127
214,202938264,НАВРЎЗ,6673,Ташкентская область,Паркентский район,1,1727249,10,127
215,202938375,БУЛОҚБОШИ,6672,Ташкентская область,Паркентский район,1,1727249,10,127
216,304663407,ЯШНОБОД,6676,Ташкентская область,Паркентский район,2,1727249,10,127
217,202938289,ГУЛБОҒ,6680,Ташкентская область,Паркентский район,2,1727249,10,127
218,202938272,СУРХИ,6679,Ташкентская область,Паркентский район,2,1727249,10,127
219,207142564,ҚАЙИЛМА,6675,Ташкентская область,Паркентский район,2,1727249,10,127
220,202386724,АТАНГАН ГУЗАР,9747,Наманганская область,Янги Наманганский район,4,1714367,5,178
221,202132066,ИШОНЧ,9748,Наманганская область,Янги Наманганский район,4,1714367,5,178
222,202777141,ҒУНЧА,9753,Наманганская область,Город Наманган,2,1714401,5,182
223,202707813,ИФТИХОР,3506,Наманганская область,Папский район,1,1714219,5,63
224,207225895,ДЕҲҚОНОБОД,8321,Хорезмская область,Багатский район,2,1733204,12,148
225,207225911,ЎЗГАРИШ,8320,Хорезмская область,Багатский район,2,1733204,12,148
226,207226435,НАЙМАН,8323,Хорезмская область,Багатский район,3,1733204,12,148
227,207226134,ОҚ ОЛТИН,8322,Хорезмская область,Багатский район,3,1733204,12,148
228,207226467,НАВРЎЗ,8330,Хорезмская область,Багатский район,3,1733204,12,148
229,205245342,НУРАФШОН,8335,Хорезмская область,Багатский район,4,1733204,12,148
230,207225928,НУРЛИ МАСКАН,8340,Хорезмская область,Багатский район,4,1733204,12,148
231,207227552,СОҲИБКОР,8338,Хорезмская область,Багатский район,4,1733204,12,148
232,205245359,ГУЛШАН,8341,Хорезмская область,Багатский район,4,1733204,12,148
233,206628426,КАРВАК,8511,Хорезмская область,Хазараспский район,1,1733220,12,152
234,205549454,ҒОФУР ҒУЛОМ,8510,Хорезмская область,Хазараспский район,1,1733220,12,152
235,204356774,АЛОҚАЛИ КЎЛ,8505,Хорезмская область,Хазараспский район,1,1733220,12,152
236,305569481,ҚИРТЕПА,9817,Хорезмская область,Хазараспский район,1,1733220,12,152
237,305523864,ЮҚОРИ-ШОВАТ,9823,Хорезмская область,Хазараспский район,1,1733220,12,152
238,204354270,БОҒИЕРАМ,8533,Хорезмская область,Хазараспский район,2,1733220,12,152
239,202948711,СУҒДИЁНА,10359,Самаркандская область,Город Самарканд,3,1718401,6,179
240,202952906,ИСТИҚЛОЛ,10591,Самаркандская область,Город Самарканд,3,1718401,6,179
241,202914080,ТЕПАГУЗАР,9107,город Ташкент,Алмазарский район,1,1726280,9,112
242,202887528,ҲАЗРАТИ ИМОМ,10773,город Ташкент,Алмазарский район,2,1726280,9,112
243,202921359,ЧИЛТЎҒОН,9123,город Ташкент,Алмазарский район,2,1726280,9,112
244,202908894,ҒАНИ АъЗАМОВ,9127,город Ташкент,Алмазарский район,2,1726280,9,112
245,202850985,ГУЛСАРОЙ,9133,город Ташкент,Алмазарский район,2,1726280,9,112
246,202895035,КАТТА ЯЛАНҒОЧОТА,9006,город Ташкент,Мирзо-Улугбекский район,4,1726269,9,109
247,202586712,ДОНИШМАНД,9288,город Ташкент,Яшнободский район,1,1726290,9,115
248,202586704,ЯНГИ НУР,9296,город Ташкент,Яшнободский район,1,1726290,9,115
249,202694214,ГУЛСАНАМ,8964,город Ташкент,Мирзо-Улугбекский район,1,1726269,9,109
250,202650063,САДИЙ ШЕРОЗИЙ,5712,Сурхандарьинская область,Сариасийский район,4,1722217,7,93
251,202649972,НУРБУЛОҚ,5711,Сурхандарьинская область,Сариасийский район,4,1722217,7,93
252,202650055,М.УЛУҒБЕК,5709,Сурхандарьинская область,Сариасийский район,4,1722217,7,93
253,202649957,БУЮК КЕЛАЖАК,5706,Сурхандарьинская область,Сариасийский район,4,1722217,7,93
254,202650070,АЙРОПОРТ,5705,Сурхандарьинская область,Сариасийский район,4,1722217,7,93
255,202650024,ШАХРИОБОД,10525,Сурхандарьинская область,Сариасийский район,4,1722217,7,93
256,202286444,АФСОНА,600,Андижанская область,Балыкчинский район,3,1703206,0,2
257,202286064,ИСЛОМОБОД,597,Андижанская область,Балыкчинский район,3,1703206,0,2
258,202286524,ШЎР,629,Андижанская область,Балыкчинский район,4,1703206,0,2
259,206985839,ФАРОВОН,627,Андижанская область,Балыкчинский район,4,1703206,0,2
260,202286555,ТЎДА,624,Андижанская область,Балыкчинский район,4,1703206,0,2
261,202286469,ОМОНАРИҚ,621,Андижанская область,Балыкчинский район,4,1703206,0,2
262,202286509,НУРАФШОН,620,Андижанская область,Балыкчинский район,4,1703206,0,2
263,202286548,ҚИЯЛИ,618,Андижанская область,Балыкчинский район,4,1703206,0,2
264,202790104,МАЙДОН,3233,Навоийская область,Хатырчинский район,4,1712251,4,58
265,202790174,ЛАНГАР,3232,Навоийская область,Хатырчинский район,4,1712251,4,58
266,305210644,ҚЎРҒОНТЕПА,3230,Навоийская область,Хатырчинский район,4,1712251,4,58
267,203826751,ДАРДОҚТЕПА,925,Андижанская область,Кургантепинский район,3,1703220,0,8
268,203819830,ТУРОН ЗАМИН,943,Андижанская область,Кургантепинский район,3,1703220,0,8
269,203819926,ТЎРАЧЕК,942,Андижанская область,Кургантепинский район,3,1703220,0,8
270,203819862,СУТКОН,941,Андижанская область,Кургантепинский район,3,1703220,0,8
271,203819941,ДЎСТЛИК,927,Андижанская область,Кургантепинский район,3,1703220,0,8
272,203819919,ОЗОД,939,Андижанская область,Кургантепинский район,3,1703220,0,8
273,203819886,НАМУНА,936,Андижанская область,Кургантепинский район,3,1703220,0,8
274,200277100,УСТОЗ,953,Андижанская область,Кургантепинский район,4,1703220,0,8
275,200277124,НУРЛИ ЁҒДУ,951,Андижанская область,Кургантепинский район,4,1703220,0,8
276,205553854,МУСТАҚИЛЛИК,10745,Андижанская область,Кургантепинский район,2,1703220,0,8
277,200277243,ГУЛИСТОН,947,Андижанская область,Кургантепинский район,4,1703220,0,8
278,204340954,ЯНГИ ХАЁТ,958,Андижанская область,Кургантепинский район,4,1703220,0,8
279,200277149,ШАҲРИХОНСОЙ,955,Андижанская область,Кургантепинский район,4,1703220,0,8
280,204787373,МАРКАЗ,1092,Андижанская область,Шахриханский район,1,1703230,0,11
281,203090032,НАЙМАН,1093,Андижанская область,Шахриханский район,1,1703230,0,11
282,203099296,ПОЛОСОН,1096,Андижанская область,Шахриханский район,1,1703230,0,11
283,203089941,ЮЗЛАР,1102,Андижанская область,Шахриханский район,1,1703230,0,11
284,206112333,ШОКИРБОЙ,1101,Андижанская область,Шахриханский район,1,1703230,0,11
285,205950369,ШАЙДО,1100,Андижанская область,Шахриханский район,1,1703230,0,11
286,203103504,АНДАЖОН,1083,Андижанская область,Шахриханский район,1,1703230,0,11
287,202832722,ҚЎҚОНИ,4557,Самаркандская область,Пастдаргомский район,2,1718227,6,78
288,202832983,АЛИШЕР НАВОИЙ,4547,Самаркандская область,Пастдаргомский район,2,1718227,6,78
289,202693722,БИРЛИК,9436,Самаркандская область,Город Самарканд,4,1718401,6,179
290,202832549,ҚЎШ ЧИНОР,4558,Самаркандская область,Пастдаргомский район,2,1718227,6,78
291,202832739,МАДАНИЙ ЮРИШ,4559,Самаркандская область,Пастдаргомский район,2,1718227,6,78
292,202832801,МИРЗАТУТ,4560,Самаркандская область,Пастдаргомский район,2,1718227,6,78
293,202832778,НАЙМАН,4561,Самаркандская область,Пастдаргомский район,2,1718227,6,78
294,202832754,ТУРКМАН,4565,Самаркандская область,Пастдаргомский район,2,1718227,6,78
